region,window_size,step_size,window_start_index,window_end_index,window_start_time,window_end_time,window_median_time,window_duration_days,matched_rate_events_per_day,n_total,mc,mc_method,b_value,b_std,n_complete,reliability_flag,reliable,b_rolling_median_5,b_lowess
M3_80km,500,100,0,499,2020-01-01 00:42:02.880,2020-04-15 07:05:46.560,2020-02-25 18:30:23.490,105.26647777777778,4.749850195002461,500,1.2,maxc,0.5734731269553325,0.025538584418313845,345,reliable,True,0.592082919105725,0.6206903264625961
M3_80km,500,100,100,599,2020-01-26 10:53:33.260,2020-05-10 03:21:22.980,2020-03-18 14:32:59.860,104.68599212962964,4.776188196992626,500,1.2,maxc,0.5977897606242818,0.027524400770689426,340,reliable,True,0.5949363398650034,0.6341432296458002
M3_80km,500,100,200,699,2020-02-20 16:47:29.060,2020-05-29 20:09:31.210,2020-04-03 14:51:37.220,99.14030266203704,5.043357611126809,500,1.2,maxc,0.592082919105725,0.028931534597767747,332,reliable,True,0.5977897606242818,0.6438857605303927
M3_80km,500,100,300,799,2020-03-04 15:06:38.660,2020-06-12 05:02:08.080,2020-04-29 13:19:39.900,99.58020162037037,5.021078405787429,500,1.2,maxc,0.62969819953588,0.030792313251111904,313,reliable,True,0.6280702309504731,0.6594357343133627
M3_80km,500,100,400,899,2020-03-26 10:25:58.940,2020-07-02 20:23:11.380,2020-05-20 13:08:40.300,98.41472731481481,5.080540419530612,500,1.1,maxc,0.6280702309504731,0.03035263063366582,321,reliable,True,0.62969819953588,0.671811814390826
M3_80km,500,100,500,999,2020-04-15 23:48:46.290,2020-07-24 14:06:18.630,2020-06-03 19:10:14.290,99.59551319444444,5.020306477299126,500,1.1,maxc,0.6404854208827867,0.033701092426666066,314,reliable,True,0.6404854208827867,0.6801080173377314
M3_80km,500,100,600,1099,2020-05-10 08:05:57.700,2020-08-09 20:22:39.090,2020-06-20 19:49:12.610,91.51159016203704,5.463788784728402,500,1.1,maxc,0.6480212116402405,0.03547539440106996,308,reliable,True,0.6480212116402405,0.6899127995264046
M3_80km,500,100,700,1199,2020-05-29 21:44:43.190,2020-08-25 13:28:53.030,2020-07-12 12:26:57.680,87.65566944444444,5.704137600784585,500,1.3,maxc,0.6836744671001254,0.04498238011970833,223,reliable,True,0.6836744671001254,0.7022481306410708
M3_80km,500,100,800,1299,2020-06-12 05:33:25.530,2020-09-09 07:52:09.020,2020-08-01 11:23:57.450,89.09633668981482,5.611903009443914,500,1.3,maxc,0.7132444817983546,0.05003911649551644,224,reliable,True,0.7115339303565763,0.7134622532289694
M3_80km,500,100,900,1399,2020-07-03 23:45:16.150,2020-09-20 16:10:53.460,2020-08-16 20:11:19.570,78.68445960648148,6.354494934585704,500,1.5,maxc,0.7115339303565763,0.05444106788178779,162,reliable,True,0.7132444817983546,0.7220266361556986
M3_80km,500,100,1000,1499,2020-07-24 16:35:49.950,2020-10-04 00:34:33.260,2020-09-04 10:21:22.840,71.33244571759259,7.009433014248745,500,1.5,maxc,0.8231319098095335,0.06442646297818243,173,reliable,True,0.8231319098095335,0.7323287112221835
M3_80km,500,100,1100,1599,2020-08-09 21:31:05.480,2020-10-19 09:52:03.920,2020-09-15 21:05:56.510,70.51456527777778,7.0907336382256885,500,1.4,maxc,0.8360862539757935,0.05457522562694159,221,reliable,True,0.8360862539757935,0.7386525905104147
M3_80km,500,100,1200,1699,2020-08-25 14:50:53.800,2020-11-01 02:46:20.560,2020-09-28 12:21:54.000,67.4968375,7.407754474422598,500,1.4,maxc,0.8543019532462637,0.0562123445214322,220,reliable,True,0.8360862539757935,0.7456258328335177
M3_80km,500,100,1300,1799,2020-09-09 08:26:22.890,2020-11-12 19:20:16.630,2020-10-11 02:38:25.620,64.45409421296297,7.7574591048932975,500,1.4,maxc,0.8578288458851843,0.0504471176340255,240,reliable,True,0.8360862539757935,0.7525777000120617
M3_80km,500,100,1400,1899,2020-09-20 16:40:19.270,2020-11-26 15:36:36.050,2020-10-26 13:30:19.520,66.95574976851852,7.467618564927067,500,1.4,maxc,0.8146353456825418,0.051233847893014314,248,reliable,True,0.8146353456825418,0.7611212591288706
M3_80km,500,100,1500,1999,2020-10-04 01:04:20.660,2020-12-07 22:55:41.610,2020-11-08 07:54:49.610,64.91065914351852,7.702895126892671,500,1.4,maxc,0.7756719514637326,0.04849433625095262,246,reliable,True,0.8146353456825418,0.7682009012399835
M3_80km,500,100,1600,2099,2020-10-19 14:03:09.140,2020-12-23 09:30:19.890,2020-11-19 20:28:00.640,64.81054108796296,7.714794408542028,500,1.4,maxc,0.7894655569773451,0.05133495037456529,246,reliable,True,0.7894655569773451,0.7746128764820673
M3_80km,500,100,1700,2199,2020-11-01 02:53:59.210,2021-01-04 07:20:29.990,2020-12-02 02:55:39.450,64.18507847222223,7.789972559064301,500,1.5,maxc,0.8409340713600318,0.059625421278063334,216,reliable,True,0.7894655569773451,0.7814669311998168
M3_80km,500,100,1800,2299,2020-11-12 20:23:55.140,2021-01-14 21:58:34.130,2020-12-14 07:10:40.340,63.06572905092593,7.928236262776685,500,1.5,maxc,0.7614066549306213,0.055959609087153854,206,reliable,True,0.826636225750828,0.7882959503716889
