region,window_size,step_size,window_start_index,window_end_index,window_start_time,window_end_time,window_median_time,window_duration_days,matched_rate_events_per_day,n_total,mc,mc_method,b_value,b_std,n_complete,reliability_flag,reliable,b_rolling_median_5,b_lowess
M1_60km,500,100,0,499,2020-01-01 18:29:38.300,2020-11-23 03:44:55.060,2020-07-17 11:24:02.380,326.38561064814814,1.5319302802812975,500,1.7,maxc,0.6934774333858146,0.03750543690361707,290,reliable,True,0.7036008337676097,0.7339822788772398
M1_60km,500,100,100,599,2020-03-12 13:09:38.890,2021-01-06 19:15:55.210,2020-09-15 11:08:45.500,300.25435555555555,1.665254777319911,500,1.7,maxc,0.7036008337676097,0.044268830613632765,242,reliable,True,0.7206707904959155,0.7488668922425337
M1_60km,500,100,200,699,2020-05-31 06:03:41.140,2021-02-09 04:36:33.860,2020-10-31 08:27:31.060,253.93949907407406,1.9689729318326732,500,1.7,maxc,0.7377407472242213,0.051430254916420226,207,reliable,True,0.7377407472242213,0.7594507456817744
M1_60km,500,100,300,799,2020-09-03 01:10:26.410,2021-03-20 19:33:40.660,2020-12-17 20:38:04.330,198.7661371527778,2.5155190273466177,500,1.7,maxc,0.7482248304521805,0.05872061666720356,182,reliable,True,0.7482248304521805,0.7696449176483957
M1_60km,500,100,400,899,2020-09-30 23:50:44.810,2021-04-14 19:26:12.730,2021-01-21 20:04:50.690,195.8162953703704,2.553413642385028,500,1.5,maxc,0.8049928797553803,0.05402250308240969,268,reliable,True,0.7654915022188041,0.7766626601818378
M1_60km,500,100,500,999,2020-11-23 06:05:27.660,2021-05-04 01:33:34.750,2021-03-02 12:59:16.320,161.81119317129628,3.090021093106278,500,1.4,maxc,0.7654915022188041,0.04510964918374123,319,reliable,True,0.7973038564615658,0.7841565327204824
M1_60km,500,100,600,1099,2021-01-06 19:19:03.850,2021-06-04 12:01:59.900,2021-03-30 06:53:41.170,148.6964820601852,3.3625543326413334,500,1.4,maxc,0.7973038564615658,0.04642721479199057,292,reliable,True,0.8049928797553803,0.7891134595494405
M1_60km,500,100,700,1199,2021-02-10 21:13:44.230,2021-07-15 11:50:45.180,2021-04-28 22:21:10.970,154.60903877314814,3.2339635765644377,500,1.4,maxc,0.8055246288122617,0.04815007700371533,290,reliable,True,0.8055246288122617,0.7941789505451389
M1_60km,500,100,800,1299,2021-03-21 06:04:48.920,2021-08-24 19:21:48.110,2021-05-22 08:06:12.250,156.55346284722222,3.1937971278728035,500,1.4,maxc,0.8563614554097332,0.052479859203477405,279,reliable,True,0.8563614554097332,0.7980287547724337
M1_60km,500,100,900,1399,2021-04-14 20:50:19.360,2021-09-19 05:17:24.040,2021-06-21 22:20:01.200,157.3521375,3.1775863229058454,500,1.4,maxc,0.8623316844850881,0.05181518158518396,284,reliable,True,0.8563614554097332,0.8028834252172454
M1_60km,500,100,1000,1499,2021-05-04 08:44:11.450,2021-10-25 12:59:30.340,2021-07-31 04:24:48.990,174.1773019675926,2.8706381046884624,500,1.5,maxc,0.8919836680514887,0.06155044858120279,228,reliable,True,0.8623316844850881,0.80877922055232
M1_60km,500,100,1100,1599,2021-06-05 14:02:00.310,2021-12-04 20:37:25.420,2021-09-04 02:06:42.420,182.27459618055556,2.7431140185037934,500,1.5,maxc,0.8501078970834868,0.054280485260711664,264,reliable,True,0.885956512391082,0.8133309247674059
M1_60km,500,100,1200,1699,2021-07-15 12:41:09.860,2022-01-10 16:46:06.570,2021-10-10 23:16:17.920,179.1701008101852,2.7906441852689783,500,1.5,maxc,0.885956512391082,0.056522154288148496,253,reliable,True,0.885956512391082,0.8140507987254921
M1_60km,500,100,1300,1799,2021-08-24 22:35:06.840,2022-02-22 01:27:48.470,2021-11-14 09:34:50.960,181.11992627314817,2.7606018304465665,500,1.5,maxc,0.9024868650862671,0.053805652104839875,261,reliable,True,0.8501078970834868,0.8150704364841898
M1_60km,500,100,1400,1899,2021-09-19 06:41:06.140,2022-03-10 20:56:05.340,2021-12-22 15:37:58.740,172.59374074074074,2.8969764364228476,500,1.5,maxc,0.8070013911386246,0.05170404002606658,272,reliable,True,0.8070013911386246,0.8133087206452868
M1_60km,500,100,1500,1999,2021-10-25 13:15:15.410,2022-04-07 08:23:08.680,2022-02-01 05:02:55.140,163.7971443287037,3.0525562704354203,500,1.5,maxc,0.7561257736904824,0.04881059750524985,275,reliable,True,0.7856645419398397,0.8118775560635327
M1_60km,500,100,1600,2099,2021-12-05 13:25:24.210,2022-05-13 20:53:25.660,2022-03-05 09:47:09.900,159.31112789351852,3.138512711643053,500,1.5,maxc,0.7856645419398397,0.053753961251872075,257,reliable,True,0.7568684950035284,0.810413693929686
M1_60km,500,100,1700,2199,2022-01-11 01:45:41.740,2022-06-28 16:56:03.370,2022-03-21 04:32:24.110,168.63219479166668,2.9650328670495876,500,1.4,maxc,0.7568684950035284,0.04721741066721006,293,reliable,True,0.7568684950035284,0.8098109801399914
M1_60km,500,100,1800,2299,2022-02-22 09:17:30.820,2022-08-04 04:22:35.130,2022-04-23 12:16:44.440,162.79518877314814,3.071343838648328,500,1.5,maxc,0.7290019994969507,0.05375711392603003,227,reliable,True,0.7735308779716763,0.8080647127570352
M1_60km,500,100,1900,2399,2022-03-10 21:28:41.750,2022-09-10 14:59:45.070,2022-06-10 04:32:48.520,183.72989953703703,2.7213861285501215,500,1.4,maxc,0.7735308779716763,0.05028137537652911,263,reliable,True,0.7568684950035284,0.803449408691541
M1_60km,500,100,2000,2499,2022-04-07 20:14:06.430,2022-10-18 13:44:00.480,2022-07-14 08:49:30.910,193.72909780092593,2.5809235973100693,500,1.4,maxc,0.9029066329759753,0.0579802734032709,275,reliable,True,0.7449237447502953,0.79964560914901
M1_60km,500,100,2100,2599,2022-05-14 00:01:04.470,2022-10-24 03:13:54.260,2022-08-20 14:35:03.260,163.13390960648147,3.064966696415976,500,1.5999999999999999,maxc,0.7449237447502953,0.056774894141324146,212,reliable,True,0.7735308779716763,0.7979510799179701
M1_60km,500,100,2200,2699,2022-06-29 00:08:07.010,2022-11-14 10:35:55.750,2022-10-02 09:12:26.220,138.43598078703704,3.6117777846293797,500,1.7,maxc,0.7425178362793401,0.057267211602422395,201,reliable,True,0.7898610136588567,0.7999068126430711
